model,price,transmission,mileage,fuelType,tax,mpg,engineSize
 5 Series,40000,Semi-Auto,1034,Petrol,145,39.2,3
 1 Series,21800,Semi-Auto,20294,Petrol,200,39.8,3
 3 Series,20998,Semi-Auto,30422,Diesel,145,51.4,3
 3 Series,19698,Semi-Auto,20313,Diesel,145,56.5,3
 3 Series,21498,Semi-Auto,28775,Diesel,160,51.4,3
 3 Series,17200,Semi-Auto,6147,Petrol,145,47.9,2
 1 Series,26000,Manual,2073,Diesel,145,57.7,1.5
 4 Series,27000,Semi-Auto,25,Petrol,145,48.7,2
 4 Series,27500,Semi-Auto,25,Diesel,145,60.1,2
 4 Series,32000,Semi-Auto,4025,Diesel,145,50.4,3
 2 Series,10498,Manual,27221,Diesel,0,74.3,1.5
 3 Series,9985,Manual,75561,Diesel,20,68.9,2
 3 Series,9965,Semi-Auto,95043,Diesel,30,62.8,2
 1 Series,13489,Semi-Auto,59066,Diesel,20,72.4,1.5
 3 Series,13994,Semi-Auto,46889,Diesel,30,67.3,2
 5 Series,35950,Semi-Auto,5137,Diesel,145,51.4,3
 4 Series,25490,Semi-Auto,8794,Diesel,145,60.1,2
 5 Series,34900,Semi-Auto,9854,Diesel,145,53.3,3
 1 Series,12000,Manual,41500,Diesel,125,57.6,2
 1 Series,14000,Manual,24678,Diesel,30,65.7,2
 2 Series,23950,Semi-Auto,4413,Diesel,145,46.3,2
 4 Series,26550,Semi-Auto,7292,Diesel,145,58.9,2
 1 Series,13450,Manual,15663,Petrol,150,53.3,1.5
 4 Series,29500,Semi-Auto,17,Diesel,145,60.1,2
 5 Series,28500,Semi-Auto,3816,Diesel,145,62.8,2
 5 Series,26000,Semi-Auto,4405,Petrol,145,48.7,2
 4 Series,27000,Semi-Auto,4406,Diesel,145,60.1,2
 3 Series,33000,Semi-Auto,11564,Diesel,145,49.6,2
 5 Series,14495,Semi-Auto,51700,Diesel,30,65.7,2
 3 Series,9498,Semi-Auto,55701,Petrol,145,47.9,1.6
 1 Series,23498,Semi-Auto,11131,Petrol,145,39.8,3
 3 Series,51000,Semi-Auto,5000,Diesel,150,43.5,3
 1 Series,23000,Semi-Auto,18100,Petrol,150,39.8,3
 3 Series,17000,Semi-Auto,43362,Diesel,145,56.5,3
 1 Series,11990,Manual,18435,Petrol,125,53.3,1.5
 1 Series,16500,Semi-Auto,5000,Diesel,145,72.4,1.5
 1 Series,27000,Semi-Auto,1214,Diesel,145,51.4,2
 3 Series,19650,Semi-Auto,43267,Diesel,145,62.8,2
 4 Series,22500,Semi-Auto,5623,Diesel,145,65.7,2
 2 Series,18700,Semi-Auto,43617,Petrol,265,37.2,3
 3 Series,15000,Semi-Auto,56000,Diesel,150,55.4,2
 3 Series,18300,Semi-Auto,20000,Diesel,150,62.8,2
 4 Series,15990,Semi-Auto,87597,Diesel,160,51.4,3
 3 Series,9995,Manual,74449,Petrol,200,41.5,2
 3 Series,34450,Semi-Auto,3500,Diesel,145,45.6,3
 4 Series,18498,Semi-Auto,24188,Diesel,145,55.4,3
 3 Series,20998,Semi-Auto,26252,Diesel,145,51.4,3
 3 Series,15998,Semi-Auto,19675,Petrol,125,51.4,2
 1 Series,29000,Semi-Auto,100,Diesel,150,48.7,2
 5 Series,24595,Semi-Auto,28502,Diesel,145,65.7,2
 5 Series,13990,Semi-Auto,73837,Diesel,160,51.4,3
 3 Series,14990,Semi-Auto,48604,Diesel,30,67.3,2
 5 Series,22990,Semi-Auto,33492,Diesel,145,60.1,2
 5 Series,10495,Semi-Auto,83380,Diesel,125,57.6,2
 4 Series,22595,Semi-Auto,18937,Petrol,145,48.7,2
 3 Series,27995,Semi-Auto,2460,Diesel,145,53.3,2
 5 Series,21998,Semi-Auto,25260,Diesel,145,60.1,2
 1 Series,12298,Semi-Auto,37634,Diesel,30,64.2,2
 1 Series,13798,Manual,34446,Diesel,145,65.7,2
 1 Series,14000,Manual,19995,Petrol,145,37.7,1.5
 4 Series,24000,Manual,24848,Petrol,145,36.7,3
 4 Series,21500,Semi-Auto,4038,Petrol,150,45.6,2
 3 Series,22000,Semi-Auto,31250,Diesel,165,51.4,3
 5 Series,16000,Semi-Auto,64194,Diesel,165,51.4,3
 3 Series,18500,Semi-Auto,38218,Diesel,165,51.4,3
 3 Series,28000,Automatic,6148,Diesel,145,52.3,2
 3 Series,27000,Automatic,13430,Diesel,145,49.6,3
 1 Series,16200,Semi-Auto,13369,Diesel,20,68.9,1.5
 2 Series,19000,Semi-Auto,3764,Petrol,145,53.3,1.5
 4 Series,17495,Manual,13471,Petrol,145,46.3,2
 3 Series,40000,Semi-Auto,2000,Diesel,145,47.9,3
 5 Series,30500,Semi-Auto,9671,Petrol,145,39.2,3
 2 Series,21500,Semi-Auto,2070,Petrol,145,40.9,1.5
